,0,1,2,3
0,Isaac Bashevis Singer,"I did not become a vegetarian for my health, I did it for the health of the chickens.","[environmental, vegetarian]",health
1,Roy Ayers,"Having good health, being able to breathe and be happy, that's one of the most beautiful gifts. On top of that, I have the gift to play music and make people happy through that. I'm just telling you from my heart, I'm so in love with life.","[life, love, music]",health
2,Louise Hart,Self-esteem is as important to our well-being as legs are to a table. It is essential for physical and mental health and for happiness.,"[happiness, mental health]",health
3,Jamie Oliver,The public health of five million children should not be left to luck or chance.,"[children, luck, chance]",health
4,Roger Goodell,We will always make sure player health and safety is our No. 1 priority in the NFL.,"[safety, always, will]",health
5,Cat Cora,I believe that parents need to make nutrition education a priority in their home environment. It's crucial for good health and longevity to instill in your children sound eating habits from an early age.,"[education, home, age]",health
6,Kerry Washington,"Today there are people trying to take away rights that our mothers, grandmothers and great-grandmothers fought for: our right to vote, our right to choose, affordable quality education, equal pay, access to health care. We the people can't let that happen.","[education, today, quality]",health
7,Azim Premji,"A girl child who is even a little bit educated is more conscious of family planning, health care and, in turn, her children's own education.","[family, education, children]",health
8,Richard Rohr,"Most Christian 'believers' tend to echo the cultural prejudices and worldviews of the dominant group in their country, with only a minority revealing any real transformation of attitudes or consciousness. It has been true of slavery and racism, classism and consumerism and issues of immigration and health care for the poor.","[racism, slavery]",health
9,Diane Ackerman,"We're losing biodiversity globally at an alarming rate, and we need a cornucopia of different plants and animals, for the planet's health and our own.","[losing, animals, plants]",health
10,Jan C. Ting,"Besides taking jobs from American workers, illegal immigration creates huge economic burdens on our health care system, our education system, our criminal justice system, our environment, our infrastructure and our public safety.","[education, justice, safety]",health
11,Harbhajan Singh,"I am just enjoying what cricket has given me. In sports, it's obviously really important for all of us to remain fit - and health is wealth, so health comes with the sport.","[sports, i am, wealth]",health
12,John James Audubon,"I ate no butcher's meat, lived chiefly on fruits, vegetables, and fish, and never drank a glass of spirits or wine until my wedding day. To this I attribute my continual good health, endurance, and an iron constitution.","[good, wedding, wine]",health
13,Abraham Maslow,"The science of psychology has been far more successful on the negative than on the positive side... It has revealed to us much about man's shortcomings, his illnesses, his sins, but little about his potentialities, his virtues, his achievable aspirations, or his psychological health.","[positive, science, man]",health
14,E. B. White,Writing is hard work and bad for the health.,"[work, hard work, writing]",health
15,Bernadette Peters,"It was one of the most exciting, perfect evenings of my life, my solo debut at Carnegie Hall. And knowing we were all there to raise money for Gay Men's Health Crisis made the evening an extraordinary experience.","[life, money, experience]",health
16,Gail Collins,"Texas is a great place to be rich and a terrible place to be poor. It's got the highest percentage of people without health insurance in the country. If you get injured on the job, good luck getting workers' comp. And God help you if you're poor and mentally ill.","[god, good, great]",health
17,Michelle Obama,"See, that's why Barack's running: to end the war in Iraq responsibly - to build an economy that lifts every family, to make sure health care is available for every American - and to make sure that every child in this nation has a world-class education all the way from preschool to college.","[family, education, war]",health
18,Paramahansa Yogananda,"It is wisest to be impartial. If you have health, but are attached to it, you will always be afraid of losing it. And if you fear that loss, but become ill, you will suffer. Why not remain forever joyful in the Self?","[fear, losing, self]",health
19,Mary Baker Eddy,"Health is not a condition of matter, but of Mind.","[mind, matter, condition]",health
20,Ezekiel Emanuel,"Vaccines are the most cost-effective health care interventions there are. A dollar spent on a childhood vaccination not only helps save a life, but greatly reduces spending on future healthcare.","[life, future, childhood]",health
21,James Thomson,"Health is the vital principle of bliss, and exercise, of health.","[fitness, exercise, bliss]",health
22,Louise Slaughter,"For most women, including women who want to have children, contraception is not an option; it is a basic health care necessity.","[women, children, care]",health
23,Dianne Feinstein,"Today we have a health insurance industry where the first and foremost goal is to maximize profits for shareholders and CEOs, not to cover patients who have fallen ill or to compensate doctors and hospitals for their services. It is an industry that is increasingly concentrated and where Americans are paying more to receive less.","[today, goal, medical]",health
24,Claire Danes,"Every three seconds in the developing world, a child dies needlessly due to lack of basic health care and other things we all take for granted.","[world, take for granted]",health
25,Jim Ramstad,It is time to end the discrimination against people who need treatment for chemical addiction. It is time for Congress to deal with our Nation's number one public health problem.,"[time, end, discrimination]",health
